Y,~ X ,adjustment set
weight,time,(1|ID)
weight,fat,"time, env, (1|ID)"
weight,sex,(1|ID)
weight,diet,"env, (1|ID)"
weight,env,(1|ID)
fat,env,(1|ID)
fat,time,(1|ID)
OD,time,(1|ID)
OD,sex,(1|ID)
OD,weight,"diet, fat, env, time, (1|ID)"
OD,diet,"env, (1|ID)"
OD,fat,"env, time, (1|ID)"
