ID,Block,Sex,Diet,Regimen,Weight,Fat_Scores_Dorsal,Fat_Scores_Pelvic,days_since_1st_trt,days_since_2nd_trt,days_since_1st_D_or_A,days_since_1st_D_inj,vax_history,blank_avg,blank_sd,cutoff_new,age_lab,Env,age_wild,repro,body_length_mm,ticks_total,fleas,mites,Testes,H_poly,Pinworms,Cestode,repro_bin,Col_5_bcen,Col_6_bcen,Col_7_bcen,Col_5_avg,Col_6_avg,Col_7_avg,OD_avg,OD,Fat_Scores_Sum,boost,ishigh,ismale,isrepro,isadult,islab,isvax,isHp,nHp
SUBJ-0006,1.0,M,Low,SC,23.5,4.0,4.0,17.0,,17.0,17.0,D,0.120375,0.011500776,0.154877329,71.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.439625,0.956625,0.540625,1.4240625,0.9390625,0.5460625,0.969729167,0.969729167,8.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0006,1.0,M,Low,SC,26.0,4.0,4.0,22.0,1.0,22.0,22.0,DA,0.090375,0.018376518,0.145504555,76.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.733625,1.175625,0.717625,1.7385,1.172,0.7235,1.211333333,1.211333333,8.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0007,1.0,M,Low,SC,25.5,,,35.0,14.0,35.0,35.0,DA,0.06375,0.005650537,0.080701612,89.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.66325,1.18125,0.88325,1.61875,1.13975,0.86225,1.206916667,1.206916667,,0,0.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0007,1.0,M,Low,SC,24.5,4.0,4.0,17.0,,17.0,17.0,D,0.1055,0.037496667,0.21799,71.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.8035,1.2415,0.8345,1.82675,1.25925,0.84875,1.311583333,1.311583333,8.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0007,1.0,M,Low,SC,24.5,4.0,4.0,14.0,,14.0,14.0,D,0.10625,0.034656477,0.210219432,68.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,0.75075,0.40775,0.21675,0.76025,0.42575,0.23075,0.47225,0.47225,8.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0008,1.0,M,Low,PC,24.0,3.0,3.0,17.0,,17.0,,A,0.07225,0.006341473,0.09127442,117.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,-0.01825,-0.02625,-0.01825,-0.01525,-0.02475,-0.01725,-0.019083333,0.0,6.0,0,0.0,1.0,0.0,1.0,1.0,0.0,0,0
SUBJ-0008,1.0,M,Low,PC,24.0,3.0,3.0,14.0,,14.0,,A,0.071125,0.00653425,0.090727751,114.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,-0.000125,0.047875,0.002875,-0.0096875,0.0128125,-0.0076875,-0.001520833,0.0,6.0,0,0.0,1.0,0.0,1.0,1.0,0.0,0,0
SUBJ-0008,1.0,M,Low,PC,23.0,,,35.0,14.0,14.0,14.0,AD,0.10875,0.014801062,0.153153185,135.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.62325,1.05425,0.64825,1.68725,1.11725,0.67275,1.159083333,1.159083333,,0,0.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0008,1.0,M,Low,PC,23.0,3.0,4.0,22.0,1.0,1.0,1.0,AD,0.10625,0.034656477,0.210219432,122.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,-0.02125,-0.00725,-0.01925,-0.01575,-0.01925,-0.01075,-0.01525,0.0,7.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0009,1.0,M,Low,ST,22.0,3.0,4.0,17.0,,17.0,17.0,D,0.070375,0.003925648,0.082151945,,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.829625,1.385625,0.921625,1.8179375,1.3634375,0.9029375,1.3614375,1.3614375,7.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0009,1.0,M,Low,ST,22.0,,,35.0,14.0,35.0,35.0,DD,0.076625,0.012129509,0.113013528,,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.660375,2.469375,2.277375,2.655875,2.386375,2.308875,2.450375,2.450375,,1,0.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0009,1.0,M,Low,ST,22.0,3.0,4.0,22.0,1.0,22.0,22.0,DD,0.11625,0.01454795,0.159893851,,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.50675,1.06375,0.65875,1.5565,1.0765,0.6735,1.102166667,1.102166667,7.0,1,0.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0010,1.0,M,High,SC,19.5,3.0,3.0,14.0,,14.0,14.0,D,0.4355,0.13659429,0.845282869,84.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.6805,1.1825,0.7795,1.6916875,1.2186875,0.7921875,1.2341875,1.2341875,6.0,0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0010,1.0,M,High,SC,19.5,3.0,3.0,17.0,,17.0,17.0,D,0.11625,0.01454795,0.159893851,87.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.74475,1.49775,1.04575,1.7915,1.511,1.063,1.455166667,1.455166667,6.0,0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0010,1.0,M,High,SC,23.5,,,35.0,14.0,35.0,35.0,DA,0.09675,0.026537036,0.176361108,105.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.50625,2.20125,1.82325,2.5565,2.2195,1.8585,2.2115,2.2115,,0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0010,1.0,M,High,SC,21.0,4.0,5.0,22.0,1.0,22.0,22.0,DA,0.11925,0.017685749,0.172307247,92.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.30375,1.91975,1.37975,2.338875,1.896375,1.397375,1.877541667,1.877541667,9.0,0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0011,1.0,M,High,PC,26.0,4.0,5.0,14.0,,14.0,,A,0.0635,0.006824326,0.083972979,85.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,0.0815,0.0465,0.0085,0.039375,0.023875,-0.003125,0.020041667,0.0,9.0,0,1.0,1.0,0.0,1.0,1.0,0.0,0,0
SUBJ-0011,1.0,M,High,PC,26.5,,,35.0,14.0,14.0,14.0,AD,0.063875,0.007548652,0.086520955,106.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.021125,0.631125,0.356125,1.03125,0.63025,0.36325,0.674916667,0.674916667,,0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0011,1.0,M,High,PC,25.5,4.0,5.0,22.0,1.0,1.0,1.0,AD,0.071,0.005554921,0.087664762,93.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,-0.013,-0.015,-0.011,-0.010875,-0.013875,-0.010375,-0.011708333,0.0,9.0,0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0012,1.0,M,High,ST,21.5,3.0,3.0,17.0,,17.0,17.0,D,0.076625,0.012129509,0.113013528,87.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.954375,1.416375,0.936375,1.927375,1.423875,0.941875,1.431041667,1.431041667,6.0,0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0012,1.0,M,High,ST,21.5,3.0,3.0,14.0,,14.0,14.0,D,0.07225,0.006341473,0.09127442,84.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.58975,1.12975,0.69675,1.58225,1.14025,0.69775,1.140083333,1.140083333,6.0,0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0012,1.0,M,High,ST,26.5,,,35.0,14.0,35.0,35.0,DD,0.10625,0.034656477,0.210219432,105.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,3.05675,2.71275,2.43975,2.98125,2.72525,2.42325,2.709916667,2.709916667,,1,1.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0012,1.0,M,High,ST,23.0,4.0,4.0,22.0,1.0,22.0,22.0,DD,0.118125,0.0155236,0.164695799,92.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.236875,1.821875,1.263875,2.2543125,1.8268125,1.2743125,1.785145833,1.785145833,8.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0013,1.0,M,High,PC,31.5,4.0,5.0,17.0,,17.0,,A,0.0685,0.01011364,0.09884092,71.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,-0.0155,-0.0125,-0.0185,-0.0176875,-0.0151875,-0.0186875,-0.0171875,0.0,9.0,0,1.0,1.0,0.0,1.0,1.0,0.0,0,0
SUBJ-0013,1.0,M,High,PC,34.0,,,35.0,14.0,14.0,14.0,AD,0.0935,0.007230886,0.115192658,89.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,0.9345,0.6055,0.3425,0.97775,0.61675,0.35025,0.64825,0.64825,,0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0013,1.0,M,High,PC,31.5,4.0,5.0,14.0,,14.0,,A,0.110375,0.028218219,0.195029656,68.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,-0.044375,-0.035375,-0.033375,-0.033125,-0.027125,-0.024125,-0.028125,0.0,9.0,0,1.0,1.0,0.0,1.0,1.0,0.0,0,0
SUBJ-0014,1.0,M,High,ST,21.5,3.0,4.0,14.0,,14.0,14.0,D,0.107375,0.037450682,0.219727046,68.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,0.899625,0.522625,0.290625,0.9046875,0.5336875,0.2871875,0.5751875,0.5751875,7.0,0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0015,1.0,M,High,SC,28.5,,,35.0,14.0,35.0,35.0,DA,0.0785,0.005154748,0.093964244,135.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.1735,1.7835,1.2785,2.1779375,1.8524375,1.2994375,1.776604167,1.776604167,,0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0015,1.0,M,High,SC,26.5,3.0,4.0,14.0,,14.0,14.0,D,0.659375,0.040305751,0.780292253,114.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,0.930625,0.529625,0.317625,0.9186875,0.4891875,0.3166875,0.574854167,0.0,7.0,0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0015,1.0,M,High,SC,26.5,3.0,4.0,17.0,,17.0,17.0,D,0.11625,0.01454795,0.159893851,117.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.23675,0.81075,0.50675,1.278,0.858,0.5255,0.887166667,0.887166667,7.0,0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0016,1.0,M,High,SC,21.5,3.0,4.0,14.0,,14.0,14.0,D,0.0685,0.01011364,0.09884092,105.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.0065,0.5825,0.3115,1.0138125,0.5908125,0.3148125,0.6398125,0.6398125,7.0,0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0016,1.0,M,High,SC,21.5,3.0,4.0,17.0,,17.0,17.0,D,0.659375,0.040305751,0.780292253,108.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,0.793625,0.442625,0.226625,0.7961875,0.4446875,0.2346875,0.491854167,0.0,7.0,0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
SUBJ-0016,1.0,M,High,SC,23.5,,,35.0,14.0,35.0,35.0,DA,0.10875,0.014801062,0.153153185,126.0,Lab,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.39525,0.88325,0.47725,1.40025,0.86775,0.49675,0.921583333,0.921583333,,0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
