"","Plate","Measure","Row","Col_5","Col_6","Col_7","Blank","ID","Block","Sex","Diet","Treatment","Weight","Fat_Scores_Dorsal","Fat_Scores_Pelvic","days_since_1st_trt","days_since_2nd_trt","trt_history","blank_avg","blank_sd","cutoff_new","Env","grid","body_length_mm","Col_5_bcen","Col_6_bcen","Col_7_bcen","Col_5_avg","Col_6_avg","Col_7_avg","OD_avg","days_since_1st_D_inj"
"380",11,1,"D",0.051,0.058,0.075,0.051,836622795,NA,"F","High",NA,24.5,3,2,NA,NA,NA,0.05475,0.005214163,0.07039249,"Wild",1,90,-0.00375,0.00325,0.02025,-0.0019375,0.0020625,0.0105625,0.0035625,NA
"381",11,1,"E",0.053,0.061,0.054,0.053,841092547,NA,"F","High","A",25.5,2,2,0,NA,"A",0.05475,0.005214163,0.07039249,"Wild",2,90,-0.00175,0.00625,-0.000750000000000001,0.0020625,0.0065625,0.0010625,0.00322916666666667,NA
"382",11,1,"F",1.517,0.88,0.526,0.059,840288296,NA,"F","High","D",14.5,2,3,15,NA,"D",0.05475,0.005214163,0.07039249,"Wild",1,85,1.46225,0.82525,0.47125,1.4200625,0.8315625,0.4655625,0.905729166666667,15
"383",11,1,"G",0.058,0.054,0.051,0.052,15605817,NA,"M","High",NA,25,2,2,NA,NA,NA,0.05475,0.005214163,0.07039249,"Wild",2,85,0.00325,-0.000750000000000001,-0.00375,0.0065625,-0.0004375,0.0030625,0.0030625,NA
"384",11,1,"H",3.017,2.639,2.116,0.051,841108291,NA,"F","Low","DD",19.5,2,3,27,8,"DD",0.05475,0.005214163,0.07039249,"Wild",4,92,2.96225,2.58425,2.06125,2.8620625,2.5435625,2.0480625,2.4845625,27
"385",12,1,"A",2.095,1.473,0.942,0.061,NA,NA,NA,NA,"Pos.Ctrl",NA,NA,NA,NA,NA,"Pos.Ctrl",0.05775,0.005117372,0.073102117,"Wild",NA,NA,2.03725,1.41525,0.88425,2.0374375,1.3784375,0.8589375,1.4249375,NA
"386",12,1,"B",2.169,1.492,0.956,0.062,NA,NA,NA,NA,"Pos.Ctrl",NA,NA,NA,NA,NA,"Pos.Ctrl",0.05775,0.005117372,0.073102117,"Wild",NA,NA,2.11125,1.43425,0.89825,2.0649375,1.4329375,0.8924375,1.4634375,NA
"387",12,1,"C",0.838,0.497,0.278,0.057,841089838,NA,"M","High","D",25,3,3,16,NA,"D",0.05775,0.005117372,0.073102117,"Wild",2,98,0.78025,0.43925,0.22025,0.7919375,0.4469375,0.2274375,0.488770833333333,16
"388",12,1,"D",0.946,0.521,0.293,0.051,841093014,NA,"F","High","DD",22,2,2,48,28,"DD",0.05775,0.005117372,0.073102117,"Wild",2,75,0.88825,0.46325,0.23525,0.8544375,0.4584375,0.2369375,0.516604166666667,48
"389",12,1,"E",1.965,1.279,0.762,0.051,836840260,NA,"M","High","DA",17,2,2,26,7,"DA",0.05775,0.005117372,0.073102117,"Wild",2,79,1.90725,1.22125,0.70425,1.9244375,1.2279375,0.7099375,1.2874375,26
"390",12,1,"F",0.048,0.053,0.048,0.067,841077105,NA,"F","High","A",17.5,2,3,43,NA,"A",0.05775,0.005117372,0.073102117,"Wild",1,85,-0.00975,-0.00475,-0.00975,-0.0065625,-0.0035625,-0.0040625,-0.00472916666666667,NA
"391",12,1,"G",0.047,0.048,0.047,0.057,835339783,NA,"F","High","AD",25,2,2,22,NA,"A",0.05775,0.005117372,0.073102117,"Wild",1,90,-0.01075,-0.00975,-0.01075,-0.0085625,-0.0095625,-0.0065625,-0.00822916666666667,NA
"392",12,1,"H",0.741,0.44,0.246,0.056,836859050,NA,"M","High","DA",27.5,3,4,22,1,"DA",0.05775,0.005117372,0.073102117,"Wild",2,94,0.68325,0.38225,0.18825,0.6969375,0.3799375,0.1954375,0.424104166666667,22
"393",13,1,"A",2.196,1.637,1.088,0.064,NA,NA,NA,NA,"Pos.Ctrl",NA,NA,NA,NA,NA,"Pos.Ctrl",0.0595,0.004213075,0.072139225,"Wild",NA,NA,2.1365,1.5775,1.0285,2.09675,1.56225,1.03325,1.56408333333333,NA
