Plate,Row,sex,pittag,suppl,previous.trt,trt.overall,jandate,body.mass.g,days.since.1st.trt,days.since.2nd.trt,titre.avg
11,F,F,840288296,Supplemented,D,D,247,14.5,15,NA,12.23036534
11,H,F,841108291,Not supplemented,DD,DD,212,19.5,27,8,12.23036534
12,A,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
12,B,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
12,C,M,841089838,Supplemented,D,D,227,25,16,NA,11.19064509
12,D,F,841093014,Supplemented,DD,DD,232,22,48,28,11.19064509
12,E,M,836840260,Supplemented,DA,DA,218,17,26,7,12.23036534
12,F,F,841077105,Supplemented,A,A,247,17.5,43,NA,0
12,G,F,835339783,Supplemented,A,AD,206,25,22,NA,0
12,H,M,836859050,Supplemented,DA,DA,212,27.5,22,1,10.84509609
13,A,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
13,B,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
13,D,M,835346074,Supplemented,A,AD,204,26,12,NA,6.338038137
13,E,M,835319552,Not supplemented,A,AD,211,19.5,20,0,2.649158683
13,F,F,841108291,Not supplemented,DD,DD,218,22.5,33,14,12.23036534
13,G,M,841090031,Not supplemented,DD,DD,239,15,34,14,12.23036534
14,A,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
14,B,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
14,C,M,841104851,Not supplemented,DA,DA,247,20,34,15,11.88327972
14,D,M,836613123,Supplemented,D,DD,218,19,7,NA,9.803454296
14,E,F,841098806,Not supplemented,DD,DD,232,16,27,7,12.23036534
14,F,F,836866272,Supplemented,DA,DA,225,25.5,35,14,10.14938809
14,G,F,835338025,Supplemented,D,D,219,22.5,14,NA,12.23036534
14,H,M,836840794,Not supplemented,DD,DD,212,28,27,1,12.23036534
15,A,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
15,B,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
15,C,F,840288296,Supplemented,D,D,239,15.5,7,NA,10.49724209
15,D,F,840289049,Not supplemented,A,A,247,12.5,15,NA,0
15,E,M,835340593,Supplemented,DD,DD,218,20,26,7,12.23036534
15,F,M,835340005,Supplemented,DD,DD,218,26.5,34,14,11.53619409
15,G,M,841084077,Supplemented,D,D,211,18.5,6,NA,8.765654551
16,A,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
16,B,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
16,C,M,836859050,Supplemented,D,DA,205,28.5,15,NA,11.53619409
16,D,F,835338101,Supplemented,D,DD,204,24,19,0,12.23036534
16,E,M,841079006,Supplemented,D,D,248,23.5,50,NA,6.684611728
16,F,M,841265814,Not supplemented,D,DA,206,28.5,23,NA,11.53619409
16,G,F,835315094,Not supplemented,DD,DD,248,17.5,37,16,12.23036534
16,H,M,836840794,Not supplemented,D,DD,211,23,26,0,12.23036534
17,A,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
17,B,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
17,E,M,836583578,Supplemented,D,D,247,19,36,NA,6.338038137
17,F,M,836613123,Supplemented,D,DD,239,18,28,0,12.23036534
17,G,M,841106371,Supplemented,A,AD,204,24.5,19,NA,0
18,A,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
18,B,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
18,C,F,841098806,Not supplemented,D,DD,225,15.5,20,0,12.23036534
18,D,F,841076790,Not supplemented,DA,DA,234,21.5,51,30,10.14938809
18,E,F,840121589,Not supplemented,D,D,234,12.5,15,NA,10.84509609
18,F,F,835338101,Supplemented,D,DD,198,21,13,NA,11.53619409
18,G,M,835340593,Not supplemented,DD,DD,213,18.5,21,2,11.19064509
18,H,F,835338101,Supplemented,DD,DD,218,26,33,14,12.23036534
19,A,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
19,B,NA,NA,NA,Pos.Ctrl,Pos.Ctrl,NA,NA,NA,NA,12.23036534
19,C,M,836840260,Not supplemented,DA,DA,225,16,33,14,12.23036534
19,D,M,835346074,Supplemented,AD,AD,225,27,33,14,10.84509609
19,E,F,835339783,Not supplemented,AD,AD,247,17.5,63,15,12.23036534
19,F,M,836840794,Not supplemented,DD,DD,225,25,40,14,12.23036534
19,G,M,836841827,Not supplemented,AD,AD,225,23,41,14,12.23036534
19,H,NA,NA,NA,Blank,Blank,NA,NA,NA,NA,0
